"средняя цена за кв. м, ₽",класс_проекта,Долгота,Широта
278086.9121818461,Комфорт,55.630954,37.454259
264033.810182428,Комфорт,55.630954,37.454259
284839.1966397786,Комфорт,55.630954,37.454259
217556.89611409776,Комфорт,55.630609,37.45389
194656.58848036063,Комфорт,55.630583,37.453711
199338.19658537477,Комфорт,55.630583,37.453711
215925.03639223136,Комфорт,55.630583,37.453711
72413.28440274112,Комфорт,55.447994,37.291852
64216.83148257022,Комфорт,55.455494,37.289355
54745.625075567325,Комфорт,55.450598,37.289355
65345.1792578243,Комфорт,55.455494,37.289355
70374.15588634557,Комфорт,52.351239802014,104.285837199672
351780.0392996945,Комфорт,55.562988266015,37.477640621124
279529.7474765972,Комфорт,58.1849092,33.9232259
450559.91565163265,Комфорт,57.974449925151,59.877141347888
413808.85913038976,Комфорт,56.19001049371,37.512260590453
203879.23651450514,Комфорт,53.43515860517,39.871150985834
208639.02533037172,Комфорт,53.43515860517,39.871150985834
200001.08097040118,Комфорт,53.43515860517,39.871150985834
207425.38927906132,Комфорт,53.43515860517,39.871150985834
191685.07193159728,Комфорт,55.493854,37.523761
196761.56271432806,Комфорт,55.493854,37.523761
188873.06949705657,Комфорт,55.493854,37.523761
180671.376970994,Комфорт,55.493854,37.523761
195763.34701488513,Комфорт,55.5991945,37.2385681
194772.45081878972,Комфорт,55.5991945,37.2385681
171143.0485379208,Комфорт,55.5991945,37.2385681
162378.48663334738,Комфорт,55.5991945,37.2385681
187623.3299762986,Комфорт,55.5991945,37.2385681
187659.7592693378,Комфорт,55.5991945,37.2385681
172251.90427284138,Комфорт,55.5991945,37.2385681
149949.7293246993,Комфорт,55.5991945,37.2385681
inf,Комфорт,55.617020182919,37.43311549717
252286.69279871462,Комфорт,55.615485354147,37.389209478787
233790.96582471742,Комфорт,55.615485354147,37.389209478787
235602.09609436084,Комфорт,55.623573286875,37.437085815365
284749.5350300998,Комфорт,55.6021666,37.3466114
263413.111589427,Комфорт,55.6178,37.4723
268930.744959108,Комфорт,55.6178,37.4723
269747.46461212327,Комфорт,55.6178,37.4723
255394.91881576602,Комфорт,55.632988805551,37.458950319265
239168.489002849,Комфорт,55.631885753086,37.457600752767
330676.57419736695,Комфорт,55.584704021575,37.469640898038
252081.6963059856,Комфорт,55.5950236,37.4431596
258307.19195478005,Комфорт,55.5950236,37.4431596
260330.17023457086,Комфорт,55.5950236,37.4431596
251661.47428279332,Комфорт,55.5950236,37.4431596
248345.63361549156,Комфорт,55.5950236,37.4431596
267275.747380694,Комфорт,55.59573020581,37.444635982367
272904.97956285323,Комфорт,55.59573020581,37.444635982367
252561.53563765515,Комфорт,55.59573020581,37.444635982367
238563.42869205048,Комфорт,55.59573020581,37.444635982367
288464.80646613037,Комфорт,55.59573020581,37.444635982367
314053.1718387126,Комфорт,55.59573020581,37.444635982367
265981.25292344374,Комфорт,55.59573020581,37.444635982367
268387.81325195427,Комфорт,55.59573020581,37.444635982367
283805.7074397659,Комфорт,55.59573020581,37.444635982367
306891.66693790606,Комфорт,55.59573020581,37.444635982367
267177.800488236,Комфорт,55.593597179089,37.44859794036
244026.08168975488,Комфорт,55.593597179089,37.44859794036
258899.2883702709,Комфорт,55.5950236,37.4431596
278499.5464158308,Комфорт,55.5950236,37.4431596
