,Полный адресс,lat,lon,ближайшее_метро,расстояние_км,расстояние_м
291,"Столбово дер., з/у 41/1Г, д. 6, к. 6.2",55.562195,37.47103,Новомосковская,0.2724044765418618,272
292,"Марушкинское пос., д. Марушкино, к. 3  1 оч. ",55.593791806881,37.199243110232,Аэропорт Внуково,5.758818770111927,5759
293,"Столбово дер., з/у 41/1Г, д. 6, к. 6.4",55.562195,37.47103,Новомосковская,0.2724044765418618,272
296,"Филимонковское пос., Староселье дер., к. 9  Сити ",55.554601564009,37.316937955331,Аэропорт Внуково,6.131486763039732,6131
298,"Марушкинское пос., 33 кв-л, уч. 3, д. 3, к. 3.5",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
300,"Столбово дер., з/у 41/1Г, д. 3, к. 3.5",55.562047,37.472027,Новомосковская,0.304388382167917,304
301,"Столбово дер., з/у 41/1Г, д. 2, к. 2.4",55.562398,37.472261,Новомосковская,0.34144350211692415,341
302,"Столбово дер., з/у 41/1Г, д. 9, к. 9.2",55.562485,37.469934,Новомосковская,0.26527058840796225,265
303,"Столбово дер., з/у 41/1Г, д. 3, к. 3.1",55.562047,37.472027,Новомосковская,0.304388382167917,304
304,"Столбово дер., з/у 41/1Г, д. 1, к. 1.1",55.562128,37.472728,Новомосковская,0.3445257272206612,345
305,"Московский пос., кв-л 70, уч. 78, к. 1  сек. 6-7 ",55.6021666,37.3466114,Рассказовка,3.628720340657154,3629
306,"Столбово дер., з/у 41/1Г, д. 2, к. 2.2",55.562398,37.472261,Новомосковская,0.34144350211692415,341
312,"Марушкинское пос., 33 кв-л, д. 1, к. 1.2",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
313,"Московский п., в районе дер. Саларьево, к. 55",55.617020182919,37.43311549717,Саларьево,0.7845679327555306,785
316,"Столбово дер., з/у 41/1Г, д. 5, к. 5.2",55.562266,37.471174,Новомосковская,0.2842282718615343,284
317,"вблизи дер. Середнево, к. 1.2",55.564037,37.28958,Аэропорт Внуково,4.803319740412343,4803
321,"Марушкинское пос., 33 кв-л, д. 1, к. 1.1",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
322,"Эдварда Грига ул., з/у 9А, д. 27, к. 27.5",55.555474,37.507807,Потапово,0.965975833516842,966
323,"Столбово дер., з/у 41/1Г, д. 9, к. 9.1",55.562485,37.469934,Новомосковская,0.26527058840796225,265
324,"Сосенское п., вблизи д. Столбово, уч. 40/1, к. 2",55.548527882141,37.462561317578,Новомосковская,1.3482866532931188,1348
326,"Саларьево дер., к. 68.2",55.6221133,37.4260893,Саларьево,0.12216644670492739,122
328,"Николо-Хованское дер., д. 8.5",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
331,"Александры Монаховой ул., к. 3.1",55.571509027111,37.47704350846,Коммунарка,0.6685127864863228,669
334,"Десна дер., к. 9/1.1",55.528488,37.381432,Новомосковская,6.366928132283905,6367
335,"вблизи Алхимово дер., д. 16",55.476725,37.505445,Бунинская аллея,6.850957722260399,6851
338,"Саларьевская ул., з/у 17, к. 83.1",55.613326,37.410726,Саларьево,1.2769896679428432,1277
339,"Александры Монаховой ул., к. 6.1.3",55.575435899932,37.471678516582,Коммунарка,0.24117463131033637,241
340,"Первый Московский мкр., к. 1  7 оч. ",55.6030466,37.3559853,Филатов Луг,3.25871725890843,3259
341,"Рассказовка дер., Переделкино Ближнее мкр., кв-л 10, к. 5",55.6339535,37.3343402,Рассказовка,0.06344315876366809,63
342,"Эдварда Грига ул., з/у 14Б, д. 37.2, к. 37.2.2",55.555148,37.502543,Потапово,0.6404698429523477,640
344,"Николо-Хованское дер., д. 4.1",55.584704021575,37.469640898038,Коммунарка,1.1143908920068724,1114
345,"Газопровод пос., к. Essense  сек. 10-11, этап 2 ",55.5774027,37.476878,Коммунарка,0.6295981674658245,630
347,"Эдварда Грига ул., з/у 1-152, д. 28, к. 28.2",55.554506,37.505517,Потапово,0.8001914146237805,800
348,"Сосенское пос., кв-л 26, з/у 3/3, к. 11.2.1",55.615527,37.482358,Тютчевская,0.3819371007178002,382
349,"Мосрентген пос., кв-л 24, з/у 1А, к. 1",55.6178,37.4723,Тютчевская,0.56636253667077,566
351,"Столбово дер., з/у 41/1Г, д. 1, к. 1.3",55.562128,37.472728,Новомосковская,0.3445257272206612,345
353,"Харлампиева ул., з/у 32  2 оч., сек. 24-27 ",55.553254,37.324722,Аэропорт Внуково,6.434592521077257,6435
354,"Столбово дер., з/у 41/1Г, д. 9, к. 9.3",55.562485,37.469934,Новомосковская,0.26527058840796225,265
355,"Эдварда Грига ул., з/у 1-152, д. 28, к. 28.4",55.554506,37.505517,Потапово,0.8001914146237805,800
356,"вблизи Алхимово дер., д. 14",55.476276,37.5069,Бунинская аллея,6.892576360875615,6893
357,"Александры Монаховой ул., к. 3.2",55.571509027111,37.47704350846,Коммунарка,0.6685127864863228,669
359,"Николо-Хованское дер., д. 4.5",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
360,"Эдварда Грига ул., з/у 14Б, д. 37, к. 37.1.3",55.55473,37.498366,Потапово,0.38239281845193634,382
361,"Александры Монаховой ул., к. 1",55.571509027111,37.47704350846,Коммунарка,0.6685127864863228,669
363,"Столбово дер., з/у 41/1Г, д. 2, к. 2.3",55.562398,37.472261,Новомосковская,0.34144350211692415,341
365,"Эдварда Грига ул., з/у 14Б, д. 37.2, к. 37.2.1",55.555148,37.502543,Потапово,0.6404698429523477,640
366,"Николо-Хованское дер., д. 6.2",55.593597179089,37.44859794036,Прокшино,1.243870801945556,1244
367,"Сосенское пос., Столбово дер., к. 3.1.1",55.551127873305,37.460062257716,Новомосковская,1.0984316745104985,1098
368,"Рассказовка дер., Переделкино Ближнее мкр., кв-л 9, к. 6",55.6339535,37.3343402,Рассказовка,0.06344315876366809,63
